M,jammer,tier,strategy,avoidance,avoidance_sd,throughput,throughput_sd
2320,comb,mid,fixed,0.0,0.0,0.0,0.0
2320,comb,mid,dsss,1.0,0.0,1.0,0.0
2320,comb,mid,uss,0.9982000000000001,0.0021237572430921133,0.49910000000000004,0.0010618786215460566
2320,partial_band,mid,crypto,0.7040000000000002,2.2584051416334807e-16,0.7040000000000002,2.2584051416334807e-16
2320,partial_band,mid,random,0.6768666666666666,0.0022086559079087533,0.6768666666666666,0.0022086559079087533
2320,partial_band,mid,fixed,0.0,0.0,0.0,0.0
2320,partial_band,mid,dsss,1.0,0.0,1.0,0.0
2320,partial_band,mid,uss,0.6972666666666665,0.024077365724470032,0.34863333333333324,0.012038682862235016
2320,reactive,top,crypto,1.0,0.0,1.0,0.0
2320,reactive,top,random,1.0,0.0,1.0,0.0
2320,reactive,top,fixed,0.0020000000000000005,4.410947542252892e-19,0.0020000000000000005,4.410947542252892e-19
2320,reactive,top,dsss,1.0,0.0,1.0,0.0
2320,reactive,top,uss,0.9985333333333333,0.0014793599112881354,0.49926666666666664,0.0007396799556440677
2320,learning,top,crypto,1.0,0.0,1.0,0.0
2320,learning,top,random,0.0,0.0,0.0,0.0
2320,learning,top,fixed,0.0,0.0,0.0,0.0
2320,learning,top,dsss,1.0,0.0,1.0,0.0
2320,learning,top,uss,0.9996000000000002,0.0008136762043449733,0.4998000000000001,0.00040683810217248664
2320,smart_partial,top,crypto,0.7040000000000002,2.2584051416334807e-16,0.7040000000000002,2.2584051416334807e-16
2320,smart_partial,top,random,0.6810000000000002,0.0021495789483460294,0.6810000000000002,0.0021495789483460294
2320,smart_partial,top,fixed,0.0,0.0,0.0,0.0
2320,smart_partial,top,dsss,1.0,0.0,1.0,0.0
2320,smart_partial,top,uss,0.6998,0.022835845989780296,0.3499,0.011417922994890148
