hop_rate,dwell_us,offset_us,success
1000,1000.0,244.06779661016947,1.0
1000,1000.0,264.4067796610169,1.0
1000,1000.0,284.74576271186436,1.0
1000,1000.0,305.08474576271186,1.0
1000,1000.0,325.4237288135593,0.9995
1000,1000.0,345.7627118644067,0.99925
1000,1000.0,366.1016949152542,0.9975
1000,1000.0,386.44067796610165,0.987
1000,1000.0,406.7796610169491,0.96925
1000,1000.0,427.1186440677966,0.922
1000,1000.0,447.45762711864404,0.85725
1000,1000.0,467.7966101694915,0.73675
1000,1000.0,488.13559322033893,0.59375
1000,1000.0,508.4745762711863,0.431
1000,1000.0,528.8135593220338,0.28425
1000,1000.0,549.1525423728813,0.1645
1000,1000.0,569.4915254237287,0.08125
1000,1000.0,589.8305084745762,0.03775
1000,1000.0,610.1694915254237,0.014
1000,1000.0,630.508474576271,0.0055
1000,1000.0,650.8474576271186,0.00125
1000,1000.0,671.1864406779661,0.00025
1000,1000.0,691.5254237288134,0.00025
1000,1000.0,711.864406779661,0.00025
1000,1000.0,732.2033898305084,0.0
1000,1000.0,752.5423728813558,0.0
1000,1000.0,772.8813559322033,0.0
1000,1000.0,793.2203389830509,0.0
1000,1000.0,813.5593220338982,0.0
1000,1000.0,833.8983050847456,0.0
1000,1000.0,854.2372881355932,0.0
1000,1000.0,874.5762711864405,0.0
1000,1000.0,894.9152542372881,0.0
1000,1000.0,915.2542372881355,0.0
1000,1000.0,935.593220338983,0.0
1000,1000.0,955.9322033898304,0.0
1000,1000.0,976.2711864406779,0.0
1000,1000.0,996.6101694915254,0.0
1000,1000.0,1016.9491525423726,0.0
1000,1000.0,1037.2881355932202,0.0
1000,1000.0,1057.6271186440677,0.0
1000,1000.0,1077.966101694915,0.0
1000,1000.0,1098.3050847457625,0.0
1000,1000.0,1118.6440677966102,0.0
1000,1000.0,1138.9830508474574,0.0
1000,1000.0,1159.3220338983049,0.0
1000,1000.0,1179.6610169491523,0.0
1000,1000.0,1200.0,0.0
10000,100.0,0.0,1.0
10000,100.0,2.0338983050847457,1.0
10000,100.0,4.067796610169491,1.0
10000,100.0,6.101694915254238,1.0
10000,100.0,8.135593220338983,1.0
10000,100.0,10.16949152542373,1.0
10000,100.0,12.203389830508476,1.0
10000,100.0,14.237288135593221,1.0
10000,100.0,16.271186440677965,1.0
10000,100.0,18.305084745762713,1.0
10000,100.0,20.33898305084746,1.0
10000,100.0,22.372881355932204,1.0
10000,100.0,24.40677966101695,1.0
10000,100.0,26.440677966101696,1.0
10000,100.0,28.474576271186443,1.0
10000,100.0,30.508474576271187,1.0
10000,100.0,32.54237288135593,0.9995
10000,100.0,34.576271186440685,0.999
10000,100.0,36.610169491525426,0.99625
10000,100.0,38.644067796610166,0.986
10000,100.0,40.67796610169492,0.96775
10000,100.0,42.71186440677967,0.92425
10000,100.0,44.74576271186441,0.8435
10000,100.0,46.77966101694915,0.7345
10000,100.0,48.8135593220339,0.59175
10000,100.0,50.84745762711865,0.426
10000,100.0,52.88135593220339,0.28875
10000,100.0,54.91525423728814,0.17125
10000,100.0,56.949152542372886,0.086
10000,100.0,58.98305084745763,0.03325
10000,100.0,61.016949152542374,0.01375
10000,100.0,63.05084745762712,0.0075
10000,100.0,65.08474576271186,0.001
10000,100.0,67.11864406779662,0.0005
10000,100.0,69.15254237288137,0.0
10000,100.0,71.1864406779661,0.0
10000,100.0,73.22033898305085,0.0
10000,100.0,75.2542372881356,0.0
10000,100.0,77.28813559322033,0.0
10000,100.0,79.32203389830508,0.0
10000,100.0,81.35593220338984,0.0
10000,100.0,83.38983050847459,0.0
10000,100.0,85.42372881355934,0.0
10000,100.0,87.45762711864407,0.0
10000,100.0,89.49152542372882,0.0
10000,100.0,91.52542372881356,0.0
10000,100.0,93.5593220338983,0.0
10000,100.0,95.59322033898306,0.0
10000,100.0,97.6271186440678,0.0
10000,100.0,99.66101694915255,0.0
10000,100.0,101.6949152542373,0.0
10000,100.0,103.72881355932203,0.0
10000,100.0,105.76271186440678,0.0
10000,100.0,107.79661016949153,0.0
10000,100.0,109.83050847457628,0.0
10000,100.0,111.86440677966102,0.0
10000,100.0,113.89830508474577,0.0
10000,100.0,115.93220338983052,0.0
10000,100.0,117.96610169491527,0.0
10000,100.0,120.0,0.0
